name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",50,1.82,7.81,5.2,0.6,1.34,0.135,0.545,0.6,0,68,2.4,1,183,0.47,163,77
"Chocolate milk, made from syrup, NS as to type of milk",80,2.89,13.18,12.23,0,1.73,1.009,0.369,0.056,7,51,0.1,1,109,0,152,54
"Chocolate milk, made from syrup with whole milk",88,2.84,13,12.16,0,2.77,1.612,0.596,0.094,10,28,0,1,107,0,146,53
"Chocolate milk, made from syrup with reduced fat milk",79,2.9,13.21,12.23,0,1.65,0.962,0.347,0.05,7,72,0.2,1,109,0,154,54
"Chocolate milk, made from syrup with low fat milk",73,2.93,13.45,12.29,0,0.82,0.492,0.182,0.028,4,50,0,1,109,0,154,54
"Chocolate milk, made from syrup with fat free milk",65,2.97,13.19,12.37,0,0.07,0.042,0.015,0.005,3,55,0,1,114,0,161,56
"Chocolate milk, made from syrup with non-dairy milk",67,1.29,13.36,11.64,0.2,1.04,0.122,0.411,0.472,0,61,0,0.9,130,0.3,97,70
"Chocolate milk, made from light syrup, NS as to type of milk",63,3.1,8.6,7.86,0,1.86,1.018,0.373,0.057,7,51,0.1,1,111,0,161,47
"Chocolate milk, made from light syrup with whole milk",72,3.04,8.42,7.79,0,2.92,1.627,0.602,0.094,10,28,0,1,109,0,155,46
"Chocolate milk, made from light syrup with reduced fat milk",63,3.1,8.63,7.86,0,1.78,0.971,0.35,0.051,7,73,0.2,1,112,0,163,47
"Chocolate milk, made from light syrup with low fat milk",57,3.13,8.87,7.92,0,0.95,0.497,0.184,0.028,4,51,0,1,112,0,163,47
"Chocolate milk, made from light syrup with fat free milk",49,3.18,8.61,8,0,0.19,0.043,0.015,0.005,3,56,0,1,117,0,170,48
"Chocolate milk, made from light syrup with non-dairy milk",51,1.48,8.78,7.27,0.2,1.17,0.123,0.415,0.476,0,62,0,0.9,132,0.3,105,63
"Chocolate milk, made from sugar free syrup, NS as to type of milk",50,3.28,6.04,4.31,0.4,2,1.112,0.426,0.062,7,51,0.1,1,110,0.26,186,77
"Chocolate milk, made from sugar free syrup with whole milk",58,3.23,5.87,4.24,0.4,3.05,1.72,0.655,0.1,10,28,0,1,108,0.26,180,76
"Chocolate milk, made from sugar free syrup with reduced fat milk",49,3.29,6.08,4.31,0.4,1.92,1.064,0.404,0.056,7,73,0.2,1,110,0.26,188,77
"Chocolate milk, made from sugar free syrup with low fat milk",43,3.32,6.32,4.37,0.4,1.08,0.59,0.237,0.033,4,51,0,1,110,0.26,188,77
"Chocolate milk, made from sugar free syrup with fat free milk",35,3.36,6.06,4.45,0.4,0.32,0.136,0.069,0.01,3,56,0,1,115,0.26,195,79
"Chocolate milk, made from sugar free syrup with non-dairy milk",37,1.66,6.22,3.72,0.5,1.31,0.217,0.468,0.481,0,62,0,0.9,131,0.56,130,94
"Hot chocolate / Cocoa, made with dry mix and water",54,0.91,11.4,8.93,0.5,0.55,0.324,0.18,0.016,0,0,0,0,21,0.16,97,72
"Hot chocolate / Cocoa, made with dry mix and whole milk",105,3.73,15.16,12.87,0.5,3.31,1.929,0.773,0.109,10,28,0,1,124,0.16,225,100
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",96,3.79,15.37,12.94,0.5,2.18,1.278,0.523,0.065,7,72,0.2,1,127,0.16,232,101
"Hot chocolate / Cocoa, made with dry mix and low fat milk",90,3.82,15.61,13,0.5,1.36,0.808,0.358,0.043,4,50,0,1,127,0.16,232,101
"Hot chocolate / Cocoa, made with dry mix and fat free milk",82,3.86,15.35,13.08,0.5,0.6,0.358,0.191,0.02,3,56,0,1,132,0.16,239,102
